
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Tony Gonzalez*,KAN,28,16,16,148,102,1258,12.3,7,32,6.4,78.6,0
2,Derrick Mason,TEN,30,16,16,158,96,1168,12.2,7,37,6.0,73.0,2
3,Chad Johnson*,CIN,26,16,16,170,95,1274,13.4,9,53,5.9,79.6,1
4,Torry Holt*,STL,28,16,16,135,94,1372,14.6,10,75,5.9,85.8,3
5,Joe Horn*,NOR,32,16,16,153,94,1399,14.9,11,57,5.9,87.4,0
6,Muhsin Muhammad*+,CAR,31,16,16,160,93,1405,15.1,16,51,5.8,87.8,3
7,Laveranues Coles,WAS,27,16,16,168,90,950,10.6,1,45,5.6,59.4,1
8,Isaac Bruce,STL,32,16,16,148,89,1292,14.5,6,56,5.6,80.8,5
9,Javon Walker*,GNB,26,16,12,144,89,1382,15.5,12,79,5.6,86.4,2
10,Eric Moulds,BUF,31,16,16,152,88,1043,11.9,5,49,5.5,65.2,1
11,Darrell Jackson,SEA,26,16,16,156,87,1199,13.8,7,56,5.4,74.9,2
12,Jason Witten*,DAL,22,16,15,122,87,980,11.3,6,42,5.4,61.3,2
13,Marvin Harrison*,IND,32,16,16,139,86,1113,12.9,15,59,5.4,69.6,1
14,Donald Driver,GNB,29,16,11,137,84,1208,14.4,9,50,5.3,75.5,2
15,Eric Johnson,SFO,25,16,14,117,82,825,10.1,2,25,5.1,51.6,1
16,Antonio Gates*+,SDG,24,15,15,114,81,964,11.9,13,72,5.4,64.3,0
17,Drew Bennett,TEN,26,16,16,144,80,1247,15.6,11,48,5.0,77.9,3
18,Michael Clayton,TAM,22,16,13,122,80,1193,14.9,7,75,5.0,74.6,1
19,Hines Ward*,PIT,28,16,16,108,80,1004,12.6,4,58,5.0,62.8,1
20,Andre Johnson*,HOU,23,16,16,138,79,1142,14.5,6,54,4.9,71.4,1
21,Rod Smith,DEN,34,16,16,136,79,1144,14.5,7,85,4.9,71.5,4
22,Terrell Owens*+,PHI,31,14,14,127,77,1200,15.6,14,59,5.5,85.7,2
23,Reggie Wayne,IND,26,16,16,115,77,1210,15.7,12,71,4.8,75.6,0
24,Jimmy Smith,JAX,35,16,16,137,74,1172,15.8,6,65,4.6,73.3,2
25,T.J. Houshmandzadeh,CIN,27,16,13,108,73,978,13.4,4,62,4.6,61.1,0
26,Randy McMichael,MIA,25,16,16,118,73,791,10.8,4,42,4.6,49.4,2
27,Brian Westbrook*,PHI,25,13,12,87,73,703,9.6,6,50,5.6,54.1,1
28,Jermaine Wiggins,MIN,29,14,13,92,71,705,9.9,4,39,5.1,50.4,1
29,Keyshawn Johnson,DAL,32,16,16,124,70,981,14.0,6,39,4.4,61.3,1
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
30,Chris Chambers,MIA,26,15,15,140,69,898,13.0,7,76,4.6,59.9,1
31,Nate Burleson,MIN,23,16,15,102,68,1006,14.8,9,68,4.3,62.9,1
32,Brandon Stokley,IND,28,16,3,102,68,1077,15.8,10,69,4.3,67.3,1
33,Domanick Williams,HOU,24,15,15,84,68,588,8.6,1,38,4.5,39.2,4
34,Jerry Porter,OAK,26,16,16,136,64,998,15.6,9,52,4.0,62.4,2
35,Eddie Kennison,KAN,31,14,14,106,62,1086,17.5,8,70,4.4,77.6,1
36,Jeremy Shockey,NYG,24,15,15,97,61,666,10.9,6,38,4.1,44.4,1
37,Antonio Bryant,2TM,23,15,8,99,58,812,14.0,4,55,3.9,54.1,1
38,Larry Fitzgerald,ARI,21,16,16,115,58,780,13.4,8,48,3.6,48.8,1
39,Donte' Stallworth,NOR,24,16,10,106,58,767,13.2,5,45,3.6,47.9,0
40,Anquan Boldin,ARI,24,10,9,104,56,623,11.1,1,31,5.6,62.3,1
41,David Givens,NWE,24,15,12,106,56,874,15.6,3,50,3.7,58.3,0
42,Thomas Jones,CHI,26,14,14,72,56,427,7.6,0,45,4.0,30.5,2
43,Justin McCareins,NYJ,26,16,16,90,56,770,13.8,4,43,3.5,48.1,3
44,Johnnie Morton,KAN,33,13,12,79,55,795,14.5,3,52,4.2,61.2,2
45,Dennis Northcutt,CLE,27,16,11,94,55,806,14.7,2,58,3.4,50.4,2
46,Ashley Lelie,DEN,24,16,16,101,54,1084,20.1,7,58,3.4,67.8,0
47,Roy Williams,DET,23,14,12,118,54,817,15.1,8,46,3.9,58.4,1
48,LaDainian Tomlinson*+,SDG,25,15,15,66,53,441,8.3,1,74,3.5,29.4,6
49,Tiki Barber*,NYG,29,16,14,79,52,578,11.1,2,62,3.3,36.1,5
50,Rod Gardner,WAS,27,16,14,106,51,650,12.7,5,51,3.2,40.6,0
51,Edgerrin James*,IND,26,16,16,60,51,483,9.5,0,56,3.2,30.2,6
52,Amani Toomer,NYG,30,15,14,107,51,747,14.6,0,48,3.4,49.8,1
53,Marty Booker,MIA,28,15,15,105,50,638,12.8,1,45,3.3,42.5,0
54,Ronald Curry,OAK,25,12,3,70,50,679,13.6,6,63,4.2,56.6,1
55,Troy Edwards,JAX,27,16,4,80,50,533,10.7,1,36,3.1,33.3,3
56,Marshall Faulk,STL,31,14,14,65,50,310,6.2,1,25,3.6,22.1,2
57,Ike Hilliard,NYG,28,16,15,81,49,437,8.9,0,43,3.1,27.3,3
58,Bryant Johnson,ARI,23,16,11,102,49,537,11.0,1,40,3.1,33.6,1
59,Randy Moss,MIN,27,13,13,86,49,767,15.7,13,82,3.8,59.0,1
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
60,Alge Crumpler*,ATL,27,14,14,74,48,774,16.1,6,49,3.4,55.3,1
61,Lee Evans,BUF,23,16,11,74,48,843,17.6,9,69,3.0,52.7,1
62,Keary Colbert,CAR,22,15,15,92,47,754,16.0,5,63,3.1,50.3,1
63,Eric Parker,SDG,25,15,13,71,47,690,14.7,4,79,3.1,46.0,5
64,Marcus Robinson,MIN,29,16,7,79,47,657,14.0,8,50,2.9,41.1,1
65,Cedrick Wilson,SFO,26,15,15,85,47,641,13.6,3,39,3.1,42.7,0
66,Nick Goings,CAR,26,16,8,61,45,394,8.8,1,37,2.8,24.6,1
67,Freddie Jones,ARI,30,16,15,74,45,426,9.5,2,40,2.8,26.6,0
68,Santana Moss,NYJ,25,15,14,78,45,838,18.6,5,69,3.0,55.9,2
69,Peerless Price,ATL,28,16,15,106,45,575,12.8,3,50,2.8,35.9,0
70,Jerald Sowell,NYJ,30,16,16,59,45,342,7.6,1,34,2.8,21.4,1
71,Shawn Bryson,DET,28,16,1,57,44,322,7.3,0,30,2.8,20.1,1
72,David Patten,NWE,30,16,11,95,44,800,18.2,7,48,2.8,50.0,0
73,Brandon Lloyd,SFO,23,13,13,89,43,565,13.1,6,52,3.3,43.5,0
74,Antwaan Randle El,PIT,25,16,7,63,43,601,14.0,3,39,2.7,37.6,5
75,David Terrell,CHI,25,16,15,90,42,699,16.6,1,63,2.6,43.7,1
76,Bobby Wade,CHI,23,16,14,89,42,481,11.5,0,40,2.6,30.1,2
77,Stephen Alexander,DET,29,16,15,76,41,377,9.2,1,30,2.6,23.6,0
78,Jabar Gaffney,HOU,24,16,12,68,41,632,15.4,2,69,2.6,39.5,1
79,Curtis Martin*+,NYJ,31,16,16,49,41,245,6.0,2,22,2.6,15.3,2
80,Michael Pittman,TAM,29,13,13,65,41,391,9.5,3,68,3.2,30.1,6
81,Ahman Green*,GNB,27,15,15,51,40,275,6.9,1,48,2.7,18.3,7
82,Clinton Portis,WAS,23,15,15,57,40,235,5.9,2,18,2.7,15.7,5
83,Ken Dilger,TAM,33,16,14,55,39,345,8.8,3,45,2.4,21.6,0
84,Amos Zereoue,OAK,28,15,6,48,39,284,7.3,0,13,2.6,18.9,1
85,Curtis Conway,SFO,33,16,5,75,38,403,10.6,3,37,2.4,25.2,0
86,Tony Fisher,GNB,25,16,0,44,38,277,7.3,2,25,2.4,17.3,1
87,Chris Cooley,WAS,22,16,9,63,37,314,8.5,6,31,2.3,19.6,0
88,Shaun McDonald,STL,23,16,0,68,37,494,13.4,3,52,2.3,30.9,4
89,Bobby Engram,SEA,31,13,7,53,36,499,13.9,2,60,2.8,38.4,1
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
90,Todd Pinkston,PHI,27,16,16,63,36,676,18.8,1,80,2.3,42.3,0
91,Jeb Putzier,DEN,25,16,5,54,36,572,15.9,2,39,2.3,35.8,0
