
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
1,Marvin Harrison*,IND,28,16,16,169,102,1413,13.9,14,78,6.4,88.3,2
2,Muhsin Muhammad,CAR,27,16,16,156,102,1183,11.6,6,36,6.4,73.9,1
3,Ed McCaffrey,DEN,32,16,16,149,101,1317,13.0,9,61,6.3,82.3,0
4,Rod Smith*,DEN,30,16,16,173,100,1602,16.0,8,49,6.3,100.1,1
5,Terrell Owens*+,SFO,27,14,13,146,97,1451,15.0,13,69,6.9,103.6,3
6,Cris Carter*,MIN,35,16,16,161,96,1274,13.3,9,53,6.0,79.6,3
7,Joe Horn*,NOR,28,16,16,151,94,1340,14.3,8,52,5.9,83.8,1
8,Keenan McCardell,JAX,30,16,16,140,94,1207,12.8,5,67,5.9,75.4,3
9,Eric Moulds*,BUF,27,16,16,164,94,1326,14.1,5,52,5.9,82.9,1
10,Tony Gonzalez*+,KAN,24,16,16,150,93,1203,12.9,9,39,5.8,75.2,0
11,Jimmy Smith*,JAX,31,15,14,112,91,1213,13.3,8,65,6.1,80.9,1
12,Richie Anderson*,NYJ,29,16,10,125,88,853,9.7,2,41,5.5,53.3,2
13,Isaac Bruce*,STL,28,16,12,135,87,1471,16.9,9,78,5.4,91.9,1
14,Troy Brown,NWE,29,16,15,119,83,944,11.4,4,44,5.2,59.0,2
15,Torry Holt*,STL,24,16,11,139,82,1635,19.9,6,85,5.1,102.2,2
16,Larry Centers,WAS,32,15,6,93,81,600,7.4,3,26,5.4,40.0,1
17,Marshall Faulk*+,STL,27,14,10,113,81,830,10.2,8,72,5.8,59.3,0
18,Terry Glenn,NWE,26,16,16,163,79,963,12.2,6,39,4.9,60.2,0
19,Derrick Alexander,KAN,29,16,16,144,78,1391,17.8,10,81,4.9,86.9,0
20,Amani Toomer,NYG,26,16,14,124,78,1094,14.0,7,54,4.9,68.4,1
21,Randy Moss*+,MIN,23,16,16,129,77,1437,18.7,15,78,4.8,89.8,2
22,Tim Brown,OAK,34,16,16,133,76,1128,14.8,11,45,4.8,70.5,0
23,Jerry Rice,SFO,38,16,16,122,75,805,10.7,7,68,4.7,50.3,3
24,Ahman Green,GNB,23,16,11,99,73,559,7.7,3,31,4.6,34.9,6
25,Michael Pittman,ARI,25,16,12,91,73,579,7.9,2,36,4.6,36.2,5
26,David Boston,ARI,22,16,16,133,71,1156,16.3,7,70,4.4,72.3,2
27,Keyshawn Johnson,TAM,28,16,16,122,71,874,12.3,8,38,4.4,54.6,2
28,Freddie Jones,SDG,26,16,7,132,71,766,10.8,5,44,4.4,47.9,3
29,Tiki Barber,NYG,25,16,12,95,70,719,10.3,1,36,4.4,44.9,9
Rk,,Tm,Age,G,GS,Tgt,Rec,Yds,Y/R,TD,Lng,R/G,Y/G,Fmb
30,Curtis Martin,NYJ,27,16,16,96,70,508,7.3,2,31,4.4,31.8,2
31,Frank Wycheck*,TEN,29,16,16,109,70,636,9.1,4,26,4.4,39.8,2
32,Wayne Chrebet,NYJ,27,16,16,143,69,937,13.6,8,50,4.3,58.6,0
